time_of_day,weather,speed_limit,past_incidents,risk_multiplier
evening,rainy,40,3,2.166
afternoon,clear,40,2,1.751
night,rainy,40,0,2.064
afternoon,clear,80,3,2.121
night,rainy,50,1,2.293
morning,rainy,50,1,1.607
morning,foggy,40,2,1.903
morning,foggy,60,5,2.334
evening,clear,50,0,1.545
afternoon,foggy,50,2,1.911
afternoon,rainy,40,2,1.852
night,clear,30,2,1.865
night,clear,60,2,2.057
evening,rainy,40,1,2.167
afternoon,clear,60,1,1.682
evening,clear,60,2,1.947
morning,clear,40,2,1.847
afternoon,clear,80,2,2.075
afternoon,foggy,40,3,2.008
night,clear,30,2,1.934
evening,clear,30,2,1.804
morning,foggy,30,5,2.057
afternoon,foggy,80,4,2.5
afternoon,rainy,40,2,1.877
morning,clear,40,1,1.575
morning,clear,60,3,2.011
morning,rainy,50,1,1.807
afternoon,rainy,40,3,2.015
afternoon,clear,60,2,1.959
afternoon,foggy,60,1,2.216
afternoon,clear,30,2,1.523
night,foggy,80,1,2.5
night,foggy,40,6,2.5
night,rainy,30,3,2.269
night,foggy,50,7,2.5
evening,rainy,30,1,1.6
afternoon,clear,30,1,1.542
night,foggy,30,4,2.5
evening,clear,40,2,1.711
morning,clear,40,2,1.603
night,clear,30,1,1.678
night,foggy,40,1,2.257
afternoon,foggy,50,3,2.061
night,rainy,40,0,2.065
evening,foggy,80,4,2.5
morning,rainy,40,2,1.781
evening,clear,50,2,1.887
afternoon,foggy,30,2,1.759
morning,foggy,80,1,2.347
evening,rainy,50,3,2.152
morning,foggy,40,0,1.713
morning,foggy,80,2,2.393
morning,clear,40,3,1.646
afternoon,rainy,30,2,1.868
morning,foggy,60,2,2.131
evening,clear,50,2,1.885
night,foggy,40,3,2.498
evening,clear,30,5,1.877
evening,rainy,40,2,2.061
afternoon,rainy,40,3,1.946
afternoon,rainy,50,3,2.083
night,foggy,40,1,2.205
evening,foggy,50,0,2.188
morning,foggy,30,1,1.771
night,rainy,50,5,2.5
afternoon,rainy,80,1,2.148
evening,foggy,30,3,2.06
evening,rainy,50,1,1.842
evening,rainy,40,2,2.154
afternoon,rainy,40,1,1.984
morning,clear,80,2,1.994
evening,foggy,40,2,2.08
morning,rainy,80,0,2.28
afternoon,rainy,30,7,2.084
afternoon,foggy,40,3,2.106
night,rainy,50,1,2.247
evening,clear,40,2,1.816
morning,clear,40,2,1.692
morning,foggy,80,2,2.488
night,clear,50,1,2.1
afternoon,foggy,40,4,2.216
night,rainy,80,1,2.5
afternoon,rainy,30,2,1.715
night,foggy,60,3,2.5
evening,foggy,30,3,1.957
morning,rainy,30,8,2.15
morning,clear,30,0,1.268
night,foggy,60,2,2.5
evening,foggy,30,1,1.704
evening,clear,40,0,1.628
night,foggy,30,2,2.03
night,clear,30,1,1.787
morning,clear,50,5,1.974
night,foggy,30,2,2.178
afternoon,clear,60,4,2.079
night,clear,30,1,1.723
morning,rainy,40,0,1.639
evening,rainy,30,4,2.139
evening,rainy,60,3,2.172
morning,rainy,40,2,1.668
afternoon,foggy,50,2,1.979
afternoon,foggy,60,2,2.109
night,clear,80,0,2.262
afternoon,rainy,80,1,2.26
evening,clear,40,0,1.563
evening,clear,40,0,1.615
evening,rainy,50,0,1.95
afternoon,rainy,60,1,2.012
morning,foggy,40,1,1.692
evening,clear,30,1,1.666
morning,foggy,60,0,1.946
morning,rainy,40,1,1.741
evening,rainy,40,1,1.852
night,foggy,30,1,2.215
night,clear,30,6,2.291
morning,foggy,40,3,2.097
morning,clear,30,2,1.49
morning,rainy,60,0,1.877
night,clear,60,1,1.955
morning,clear,50,2,1.71
evening,foggy,50,2,2.258
night,rainy,60,1,2.258
evening,rainy,30,3,1.988
evening,rainy,30,2,1.782
afternoon,foggy,40,0,1.742
night,foggy,60,1,2.456
afternoon,clear,40,0,1.299
evening,clear,40,2,1.774
night,rainy,60,2,2.403
night,rainy,30,2,2.191
